ID;FECHA;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD_KM;MAGNITUD_MI;DEPARTAMENTO;MUNICIPIO;CANTIDAD;DÍA;MES
S_128;19/01/2024;11:45:19;4.757;-75.984;49.96;1.6;VALLE DEL CAUCA;CARTAGO;1;19;1
S_129;19/01/2024;11:55:06;4.704;-75.936;69.41;1.6;VALLE DEL CAUCA;CARTAGO;1;19;1
S_130;19/01/2024;12:19:29;4.752;-75.98;46.45;1.5;VALLE DEL CAUCA;CARTAGO;1;19;1
S_131;19/01/2024;12:24:38;4.729;-75.954;51.6;1.5;VALLE DEL CAUCA;CARTAGO;1;19;1
S_132;19/01/2024;12:28:22;4.782;-75.942;49.02;1.2;VALLE DEL CAUCA;CARTAGO;1;19;1
S_133;19/01/2024;12:36:38;4.708;-75.981;56.82;1.2;VALLE DEL CAUCA;CARTAGO;1;19;1
S_134;19/01/2024;12:37:43;4.75;-75.967;49.49;2.4;VALLE DEL CAUCA;CARTAGO;1;19;1
S_135;19/01/2024;12:51:30;4.747;-75.979;48.67;1.3;VALLE DEL CAUCA;CARTAGO;1;19;1
S_136;19/01/2024;13:00:03;4.783;-75.973;48.91;1.3;VALLE DEL CAUCA;CARTAGO;1;19;1
S_137;19/01/2024;13:06:34;4.766;-75.955;46.09;1.2;VALLE DEL CAUCA;CARTAGO;1;19;1
S_138;19/01/2024;14:18:32;4.761;-75.935;49.02;1.4;VALLE DEL CAUCA;CARTAGO;1;19;1
S_139;19/01/2024;15:43:31;4.722;-75.923;47.73;1.2;VALLE DEL CAUCA;CARTAGO;1;19;1
S_140;19/01/2024;16:29:00;4.746;-75.922;49.02;1.1;VALLE DEL CAUCA;CARTAGO;1;19;1
S_141;19/01/2024;16:42:58;4.755;-75.983;50.08;1.3;VALLE DEL CAUCA;CARTAGO;1;19;1
S_142;19/01/2024;16:53:45;4.714;-75.937;62.09;1.6;VALLE DEL CAUCA;CARTAGO;1;19;1
S_143;19/01/2024;17:51:50;4.757;-75.976;44.57;1.6;VALLE DEL CAUCA;CARTAGO;1;19;1
S_144;19/01/2024;17:52:33;4.795;-75.95;46.45;1.5;VALLE DEL CAUCA;CARTAGO;1;19;1
S_145;19/01/2024;17:59:01;4.763;-75.959;45.74;1.5;VALLE DEL CAUCA;CARTAGO;1;19;1
S_146;19/01/2024;18:01:08;4.771;-75.963;49.02;1.2;VALLE DEL CAUCA;CARTAGO;1;19;1
S_147;19/01/2024;21:50:17;4.754;-75.956;44.34;1.4;VALLE DEL CAUCA;CARTAGO;1;19;1
S_148;19/01/2024;21:53:02;4.752;-75.946;49.02;1.5;VALLE DEL CAUCA;CARTAGO;1;19;1
S_149;20/01/2024;0:18:15;4.754;-75.849;67.67;1.2;VALLE DEL CAUCA;CARTAGO;1;20;1
S_150;20/01/2024;5:03:23;4.771;-75.939;49.02;1.4;VALLE DEL CAUCA;CARTAGO;1;20;1
S_151;20/01/2024;7:25:24;4.761;-75.969;50.2;1.5;VALLE DEL CAUCA;CARTAGO;1;20;1
S_152;20/01/2024;14:56:25;4.771;-75.961;46.91;1.6;VALLE DEL CAUCA;CARTAGO;1;20;1
S_153;20/01/2024;21:29:35;4.757;-75.959;49.02;1.7;VALLE DEL CAUCA;CARTAGO;1;20;1
S_154;20/01/2024;21:52:36;4.752;-75.937;47.85;1;VALLE DEL CAUCA;CARTAGO;1;20;1
S_155;20/01/2024;23:34:17;4.778;-75.946;50.2;2.2;VALLE DEL CAUCA;CARTAGO;1;20;1
S_156;21/01/2024;1:08:34;4.761;-75.974;49.02;1.4;VALLE DEL CAUCA;CARTAGO;1;21;1
S_157;21/01/2024;3:32:25;4.742;-75.961;49.02;1.4;VALLE DEL CAUCA;CARTAGO;1;21;1
S_158;21/01/2024;8:29:12;4.752;-75.967;45.98;1.7;VALLE DEL CAUCA;CARTAGO;1;21;1
S_159;21/01/2024;13:37:09;4.656;-75.895;45.34;1.8;VALLE DEL CAUCA;CARTAGO;1;21;1
S_160;22/01/2024;18:41:36;4.788;-75.937;45.98;1.8;VALLE DEL CAUCA;CARTAGO;1;22;1
S_161;23/01/2024;4:08:35;4.759;-75.982;49.02;1.4;VALLE DEL CAUCA;CARTAGO;1;23;1
S_162;23/01/2024;7:59:33;4.761;-75.924;44.8;1.7;VALLE DEL CAUCA;CARTAGO;1;23;1
S_163;23/01/2024;15:38:32;4.746;-75.956;49.73;1.7;VALLE DEL CAUCA;CARTAGO;1;23;1
S_164;23/01/2024;17:35:50;4.757;-75.986;45.8;2.2;VALLE DEL CAUCA;CARTAGO;1;23;1
S_165;23/01/2024;18:45:58;4.759;-75.984;45.51;1.8;VALLE DEL CAUCA;CARTAGO;1;23;1
S_166;24/01/2024;5:25:38;4.761;-75.978;48.09;2;VALLE DEL CAUCA;CARTAGO;1;24;1
S_167;25/01/2024;2:54:46;4.773;-75.948;49.02;1.4;VALLE DEL CAUCA;CARTAGO;1;25;1
S_168;25/01/2024;8:22:58;4.757;-75.961;49.02;1.8;VALLE DEL CAUCA;CARTAGO;1;25;1
S_169;25/01/2024;10:37:58;4.765;-75.967;43.16;1.5;VALLE DEL CAUCA;CARTAGO;1;25;1
S_170;26/01/2024;7:24:05;4.765;-75.967;51.13;1.6;VALLE DEL CAUCA;CARTAGO;1;26;1
S_171;27/01/2024;3:37:27;4.711;-75.937;59.9;1.2;VALLE DEL CAUCA;CARTAGO;1;27;1
S_172;27/01/2024;13:17:01;4.767;-75.967;45.98;1.7;VALLE DEL CAUCA;CARTAGO;1;27;1
S_173;28/01/2024;3:14:54;4.754;-75.969;48.09;1.5;VALLE DEL CAUCA;CARTAGO;1;28;1
S_174;28/01/2024;5:48:06;4.759;-75.965;55.12;1;VALLE DEL CAUCA;CARTAGO;1;28;1
S_175;28/01/2024;22:14:33;4.79;-75.948;42.46;0.9;VALLE DEL CAUCA;CARTAGO;1;28;1
S_176;29/01/2024;11:35:12;4.776;-75.961;43.87;1.2;VALLE DEL CAUCA;CARTAGO;1;29;1
S_177;30/01/2024;7:52:22;4.761;-75.971;46.21;1.5;VALLE DEL CAUCA;CARTAGO;1;30;1
S_178;30/01/2024;9:17:02;4.78;-75.972;45.98;1.4;VALLE DEL CAUCA;CARTAGO;1;30;1
S_179;30/01/2024;13:44:22;4.741;-75.978;49.08;1.7;VALLE DEL CAUCA;CARTAGO;1;30;1
S_180;3/02/2024;23:28:54;4.749;-75.963;49.43;1.4;VALLE DEL CAUCA;CARTAGO;1;3;2
S_181;3/02/2024;23:57:35;4.754;-75.959;48.61;1.5;VALLE DEL CAUCA;CARTAGO;1;3;2
S_182;4/02/2024;16:37:05;4.718;-75.993;60.51;0.8;VALLE DEL CAUCA;CARTAGO;1;4;2
S_183;5/02/2024;0:01:27;4.773;-75.937;45.04;1;VALLE DEL CAUCA;CARTAGO;1;5;2
S_184;8/02/2024;3:27:57;4.761;-75.98;48.09;1;VALLE DEL CAUCA;CARTAGO;1;8;2
S_185;8/02/2024;14:14:00;4.758;-75.957;48.96;2.2;VALLE DEL CAUCA;CARTAGO;1;8;2
S_186;8/02/2024;23:41:04;4.75;-75.979;56.57;0.9;VALLE DEL CAUCA;CARTAGO;1;8;2
S_187;9/02/2024;5:04:36;4.772;-75.967;46.04;1.8;VALLE DEL CAUCA;CARTAGO;1;9;2
S_188;9/02/2024;6:42:41;4.762;-75.964;48.96;1.7;VALLE DEL CAUCA;CARTAGO;1;9;2
S_189;9/02/2024;11:36:49;4.746;-75.969;49.73;1.4;VALLE DEL CAUCA;CARTAGO;1;9;2
S_190;10/02/2024;3:58:29;4.757;-75.965;48.79;1.2;VALLE DEL CAUCA;CARTAGO;1;10;2
S_191;12/02/2024;9:16:23;4.765;-75.961;48.32;1;VALLE DEL CAUCA;CARTAGO;1;12;2
S_192;20/02/2024;11:58:57;4.754;-75.969;48.32;1.1;VALLE DEL CAUCA;CARTAGO;1;20;2
S_193;24/02/2024;9:21:38;4.755;-75.97;51.48;1.6;VALLE DEL CAUCA;CARTAGO;1;24;2
S_194;25/02/2024;14:39:20;4.735;-75.973;48.79;0.8;VALLE DEL CAUCA;CARTAGO;1;25;2
S_195;27/02/2024;7:33:52;4.769;-75.95;50.66;1.4;VALLE DEL CAUCA;CARTAGO;1;27;2
S_196;1/03/2024;9:08:15;4.759;-75.974;51.84;1.6;VALLE DEL CAUCA;CARTAGO;1;1;3
S_197;4/03/2024;6:08:13;4.714;-75.889;63.55;0.9;VALLE DEL CAUCA;CARTAGO;1;4;3
S_198;5/03/2024;10:24:09;4.717;-75.966;103.98;1.6;VALLE DEL CAUCA;CARTAGO;1;5;3
S_199;13/03/2024;3:58:13;4.691;-75.956;73.13;1.1;VALLE DEL CAUCA;CARTAGO;1;13;3
S_200;13/03/2024;6:45:58;4.735;-75.93;75.11;0.8;VALLE DEL CAUCA;CARTAGO;1;13;3
S_201;23/03/2024;0:42:36;4.752;-75.931;55.12;1.1;VALLE DEL CAUCA;CARTAGO;1;23;3
S_202;7/04/2024;9:09:29;4.634;-75.85;45.33;1.9;VALLE DEL CAUCA;CARTAGO;1;7;4
S_203;8/04/2024;9:04:38;4.755;-75.953;48.67;0.9;VALLE DEL CAUCA;CARTAGO;1;8;4
S_204;17/04/2024;3:29:41;4.799;-75.961;52.07;1.2;VALLE DEL CAUCA;CARTAGO;1;17;4
S_205;18/04/2024;15:32:25;4.754;-75.929;49.02;1.3;VALLE DEL CAUCA;CARTAGO;1;18;4
S_206;7/05/2024;7:20:14;4.769;-75.965;45.74;0.8;VALLE DEL CAUCA;CARTAGO;1;7;5
S_207;15/05/2024;1:43:04;4.736;-75.95;63.19;1;VALLE DEL CAUCA;CARTAGO;1;15;5
S_208;15/05/2024;10:42:47;4.754;-75.955;29.92;0.8;VALLE DEL CAUCA;CARTAGO;1;15;5
S_209;29/05/2024;21:57:02;4.784;-75.952;41.52;1.2;VALLE DEL CAUCA;CARTAGO;1;29;5
S_210;2/06/2024;0:31:20;4.761;-75.963;49.02;1.4;VALLE DEL CAUCA;CARTAGO;1;2;6
S_211;2/06/2024;21:35:28;4.731;-75.976;58.96;1.4;VALLE DEL CAUCA;CARTAGO;1;2;6
S_212;4/06/2024;12:09:52;4.762;-75.966;45.21;1.9;VALLE DEL CAUCA;CARTAGO;1;4;6
S_213;4/06/2024;12:36:54;4.785;-75.941;38.36;1.1;VALLE DEL CAUCA;CARTAGO;1;4;6
S_214;7/06/2024;0:28:39;4.778;-75.961;41.05;1;VALLE DEL CAUCA;CARTAGO;1;7;6
S_215;14/06/2024;2:05:58;4.628;-75.874;20.82;1.1;VALLE DEL CAUCA;CARTAGO;1;14;6
S_216;15/06/2024;16:54:39;4.782;-75.972;41.99;1.5;VALLE DEL CAUCA;CARTAGO;1;15;6
S_217;18/06/2024;8:13:09;4.671;-75.983;111.48;1.3;VALLE DEL CAUCA;CARTAGO;1;18;6
S_218;21/06/2024;20:58:23;4.761;-75.965;43.4;1.2;VALLE DEL CAUCA;CARTAGO;1;21;6
S_219;25/06/2024;2:12:16;4.655;-75.941;40.59;1.1;VALLE DEL CAUCA;CARTAGO;1;25;6
S_220;4/07/2024;7:37:26;4.792;-75.957;44.57;0.9;VALLE DEL CAUCA;CARTAGO;1;4;7
S_221;6/07/2024;2:53:50;4.776;-75.952;43.63;1;VALLE DEL CAUCA;CARTAGO;1;6;7
S_222;8/07/2024;15:47:07;4.776;-75.959;44.39;1.5;VALLE DEL CAUCA;CARTAGO;1;8;7
S_223;11/07/2024;4:10:34;4.773;-75.96;43.57;1.3;VALLE DEL CAUCA;CARTAGO;1;11;7
S_224;19/07/2024;21:02:13;4.761;-75.952;41.76;1.2;VALLE DEL CAUCA;CARTAGO;1;19;7
S_225;24/07/2024;15:22:10;4.68;-76.015;55.12;1.2;VALLE DEL CAUCA;CARTAGO;1;24;7
S_226;27/07/2024;17:54:33;4.782;-75.94;41.99;0.8;VALLE DEL CAUCA;CARTAGO;1;27;7
S_227;1/08/2024;18:15:04;4.748;-75.935;48.79;1.5;VALLE DEL CAUCA;CARTAGO;1;1;8
S_228;9/08/2024;23:24:40;4.671;-75.996;104.92;1.4;VALLE DEL CAUCA;CARTAGO;1;9;8
S_229;18/08/2024;6:27:58;4.782;-75.966;64.36;1.5;VALLE DEL CAUCA;CARTAGO;1;18;8
S_230;23/08/2024;21:10:49;4.752;-75.959;44.8;0.9;VALLE DEL CAUCA;CARTAGO;1;23;8
S_231;24/08/2024;12:57:15;4.735;-75.98;49.73;1.6;VALLE DEL CAUCA;CARTAGO;1;24;8
S_232;29/08/2024;4:12:17;4.754;-75.971;47.38;0.9;VALLE DEL CAUCA;CARTAGO;1;29;8
S_233;29/08/2024;8:00:57;4.685;-76.007;47.62;1.4;VALLE DEL CAUCA;CARTAGO;1;29;8
S_234;29/08/2024;14:45:10;4.784;-75.952;46.21;1.2;VALLE DEL CAUCA;CARTAGO;1;29;8
S_235;30/08/2024;3:40:37;4.67;-75.847;16.45;1.2;VALLE DEL CAUCA;CARTAGO;1;30;8
S_236;7/09/2024;12:54:35;4.717;-75.949;58.56;1;VALLE DEL CAUCA;CARTAGO;1;7;9
S_237;7/09/2024;23:46:05;4.75;-75.974;49.26;1.3;VALLE DEL CAUCA;CARTAGO;1;7;9
S_238;8/09/2024;14:55:02;4.782;-75.963;49.96;1.8;VALLE DEL CAUCA;CARTAGO;1;8;9
S_239;13/09/2024;10:15:34;4.773;-75.954;45.74;1.1;VALLE DEL CAUCA;CARTAGO;1;13;9
S_240;16/09/2024;19:48:32;4.79;-75.925;33.09;0.9;VALLE DEL CAUCA;CARTAGO;1;16;9
S_241;27/09/2024;19:56:11;4.798;-75.953;47.27;1;VALLE DEL CAUCA;CARTAGO;1;27;9
S_242;3/10/2024;10:59:33;4.657;-75.948;46.68;1.3;VALLE DEL CAUCA;CARTAGO;1;3;10
S_243;10/10/2024;16:14:15;4.676;-75.907;34.26;1.2;VALLE DEL CAUCA;CARTAGO;1;10;10
S_244;21/10/2024;8:59:05;4.754;-75.967;47.62;1.1;VALLE DEL CAUCA;CARTAGO;1;21;10
S_245;31/10/2024;8:40:47;4.754;-75.982;48.32;1.3;VALLE DEL CAUCA;CARTAGO;1;31;10
S_246;2/11/2024;8:59:26;4.74;-75.974;53.44;1.1;VALLE DEL CAUCA;CARTAGO;1;2;11
S_247;11/11/2024;17:09:31;4.677;-75.902;66.64;1.2;VALLE DEL CAUCA;CARTAGO;1;11;11
S_248;15/11/2024;8:41:57;4.759;-75.976;47.85;0.9;VALLE DEL CAUCA;CARTAGO;1;15;11
S_249;22/11/2024;19:49:56;4.761;-75.971;47.38;1.9;VALLE DEL CAUCA;CARTAGO;1;22;11
S_250;3/12/2024;23:22:17;4.733;-75.886;119.61;1.5;VALLE DEL CAUCA;CARTAGO;1;3;12
S_251;15/12/2024;7:33:39;4.742;-75.912;52.77;1.4;VALLE DEL CAUCA;CARTAGO;1;15;12
S_252;18/12/2024;7:43:12;4.742;-75.978;48.09;1.3;VALLE DEL CAUCA;CARTAGO;1;18;12
S_253;22/12/2024;6:47:56;4.765;-75.952;49.02;1.2;VALLE DEL CAUCA;CARTAGO;1;22;12
S_254;27/12/2024;16:36:02;4.773;-75.954;48.09;1.4;VALLE DEL CAUCA;CARTAGO;1;27;12
S_255;31/12/2024;4:48:19;4.757;-75.952;48.32;0.8;VALLE DEL CAUCA;CARTAGO;1;31;12
